model,k_params,log_likelihood,AIC,BIC,brier_score,avg_hits_at_6,hits_std,hit_0,hit_1,hit_2,hit_3,hit_4,hit_5,hit_6,lift_vs_uniform_pct
G0_uniform,0,-45299.80845566783,90599.61691133566,90599.61691133566,0.062222222222222234,0.3844282238442822,0.5762120213167927,1358,609,83,5,0,0,0,0.0
G4_structural,14,-45302.64740413474,90633.29480826948,90775.08457943113,0.06222411458804045,0.41021897810218977,0.6078102379706384,1332,614,98,11,0,0,0,6.708860759493684
G2_dirichlet,90,-45364.708114903544,90909.41622980709,91820.92190156055,0.06226569976012604,0.3795620437956204,0.577746947796594,1373,587,92,3,0,0,0,-1.2658227848101222
G3_markov_lag1,180,-45417.02357198751,91194.04714397503,93017.05848748193,0.062301606275615394,0.3907542579075426,0.5989546168462857,1368,579,100,8,0,0,0,1.6455696202531733
G6_ensemble,286,-45348.33895037715,91268.6779007543,94165.24036877083,0.06225500615322033,0.37518248175182484,0.5851920917260062,1387,573,87,8,0,0,0,-2.405063291139231
G5_regime_split,270,-45525.89714729059,91591.79429458118,94326.31130984155,0.06236473582415902,0.3722627737226277,0.5727888738156515,1384,580,88,3,0,0,0,-3.164556962025311
