date,contest_number,n1,n2,n3,n4,n5,n6,jolly,super_star
2020-12-03,127,22,33,43,48,87,89,17,75
2020-12-05,128,26,32,39,40,57,65,4,15
2020-12-07,129,1,6,20,25,70,90,89,45
2020-12-10,130,1,6,25,42,75,80,41,63
2020-12-12,131,11,14,18,59,64,85,1,84
2020-12-15,132,10,16,47,51,80,85,4,23
2020-12-17,133,5,9,12,14,26,37,55,29
2020-12-19,134,36,39,45,50,62,66,47,69
2020-12-22,135,15,16,22,46,51,72,8,29
2020-12-24,136,22,25,31,79,87,90,38,73
2020-12-28,137,8,25,39,54,59,84,85,14
2020-12-29,138,15,22,38,51,60,74,86,50
2020-12-31,139,7,14,20,66,68,79,76,60
2021-01-02,1,35,37,50,75,77,81,5,30
2021-01-05,2,12,19,30,60,71,78,79,6
2021-01-07,3,15,33,48,49,56,88,16,55
2021-01-09,4,14,16,35,47,58,64,40,20
2021-01-12,5,5,19,21,33,61,90,43,52
2021-01-14,6,24,50,53,54,62,88,61,72
2021-01-16,7,9,26,57,66,81,83,63,65
2021-01-19,8,2,27,28,38,43,65,60,72
2021-01-21,9,15,17,38,40,45,65,84,45
2021-01-23,10,3,19,27,35,63,89,29,57
2021-01-26,11,34,39,45,51,60,89,18,52
2021-01-28,12,18,29,40,44,46,53,67,39
2021-01-30,13,27,35,42,48,56,65,44,81
2021-02-02,14,28,41,54,67,78,86,29,6
2021-02-04,15,5,19,27,35,40,82,66,53
2021-02-06,16,36,49,50,61,66,76,82,87
2021-02-09,17,7,8,19,33,40,48,54,40
2021-02-11,18,5,34,47,60,69,70,64,21
2021-02-13,19,36,39,46,58,63,77,57,65
2021-02-16,20,9,19,30,52,61,76,54,30
2021-02-18,21,28,52,56,62,66,72,58,13
2021-02-20,22,3,18,25,31,65,75,29,65
2021-02-23,23,7,37,42,57,59,87,15,17
2021-02-25,24,13,26,42,71,72,73,62,30
2021-02-27,25,10,37,42,69,72,86,85,2
2021-03-02,26,3,32,39,56,77,89,90,82
2021-03-04,27,2,4,13,45,51,77,5,64
2021-03-06,28,4,36,43,61,72,89,22,29
2021-03-09,29,8,15,20,52,54,72,81,79
2021-03-11,30,9,31,51,68,84,90,33,41
2021-03-13,31,28,29,43,59,70,79,52,79
2021-03-16,32,28,43,48,65,84,89,9,2
2021-03-18,33,11,38,51,58,62,63,47,56
2021-03-20,34,6,10,57,71,74,83,39,40
2021-03-23,35,2,11,13,45,66,72,25,84
2021-03-25,36,15,28,30,52,75,86,37,32
2021-03-27,37,16,19,41,72,78,82,70,46
2021-03-30,38,10,25,41,58,78,87,73,33
2021-04-01,39,22,37,57,62,83,90,3,87
2021-04-03,40,1,39,53,60,75,76,36,8
2021-04-06,41,7,27,73,77,78,89,26,41
2021-04-08,42,19,29,35,49,66,81,61,87
