date,contest_number,n1,n2,n3,n4,n5,n6
2025-01-02,1,19,74,77,88,29,21,7,56
2025-01-03,2,13,30,43,49,74,89,4,32
2025-01-04,3,83,86,43,63,42,31,37,86
2025-01-07,4,87,32,11,29,10,7,34,51
2025-01-09,5,40,33,15,82,71,74,89,15
2025-01-10,6,19,25,33,49,57,72,46,38
2025-01-11,7,85,5,22,11,6,35,30,53
2025-01-14,8,4,40,17,15,64,75,23,80
2025-01-16,9,69,38,72,59,88,31,64,73
2025-01-17,10,8,12,15,40,66,89,7,15
2025-01-18,11,10,46,21,29,2,70,31,59
2025-01-21,12,3,18,41,58,62,73,64,20
2025-01-23,13,1,80,69,7,46,34,64,42
2025-01-24,14,14,20,46,62,84,85,1,78
2025-01-25,15,44,5,6,76,45,24,58,64
2025-01-28,16,65,77,82,48,63,72,85,47
2025-01-30,17,32,41,23,47,35,34,65,2
2025-01-31,18,7,18,22,25,30,72,76,51
2025-02-01,19,45,59,25,26,21,49,68,82
2025-02-04,20,85,77,41,83,10,29,56,80
2025-02-06,21,83,41,4,72,86,11,30,30
2025-02-07,22,16,29,30,47,52,84,10,17
2025-02-08,23,72,57,86,46,29,66,64,40
2025-02-11,24,75,79,86,55,9,39,2,56
2025-02-13,25,31,64,41,62,74,87,84,68
2025-02-14,26,18,30,40,52,60,71,65,70
2025-02-15,27,85,48,22,72,77,37,39,72
2025-02-18,28,7,85,54,76,3,5,89,64
2025-02-20,29,63,27,6,19,71,77,13,70
2025-02-21,30,21,45,48,72,79,87,73,89
2025-02-22,31,52,35,40,48,49,89,24,32
2025-02-25,32,83,89,6,68,90,58,73,50
2025-02-27,33,31,33,72,42,51,29,34,62
2025-02-28,34,4,12,37,59,63,90,70,15
2025-03-01,35,33,12,1,40,83,41,6,67
2025-03-04,36,52,9,63,28,77,79,11,39
2025-03-06,37,36,1,18,32,10,19,20,53
2025-03-07,38,11,24,25,30,43,47,28,5
2025-03-08,39,87,35,59,65,11,16,9,52
2025-03-11,40,48,90,27,55,58,22,63,11
2025-03-13,41,58,33,7,70,25,51,79,31
2025-03-14,42,3,10,20,36,37,49,21,14
2025-03-15,43,50,79,2,82,8,77,85,36
2025-03-18,44,64,73,1,79,86,80,39,68
2025-03-20,45,40,54,66,83,36,49,14,44
2025-03-21,46,7,15,48,49,65,80,67,39
2025-03-22,47,66,76,45,15,28,46,44,43
2025-03-25,48,88,74,29,31,27,60,71,23
2025-03-27,49,64,45,28,43,35,85,13,35
2025-03-28,50,17,26,46,56,71,90,6,22
2025-03-29,51,85,68,45,71,9,66,31,44
2025-04-01,52,32,81,4,19,47,74,10,90
2025-04-03,53,31,57,32,35,30,29,26,6
2025-04-04,54,42,51,71,77,80,82,72,5
2025-04-05,55,60,41,73,8,22,5,18,54
2025-04-08,56,11,34,46,20,90,48,68,81
2025-04-10,57,32,40,11,44,24,85,27,36
2025-04-11,58,9,20,43,49,52,57,61,8
2025-04-12,59,60,85,79,38,16,83,27,36
2025-04-15,60,40,66,60,81,57,80,36,9
2025-04-17,61,8,44,40,20,49,46,63,48
2025-04-18,62,4,11,18,23,83,88,89,70
2025-04-19,63,54,8,62,51,69,32,18,30
2025-04-22,64,62,74,61,10,59,68,43,31
2025-04-24,65,31,55,20,14,13,60,89,25
2025-04-26,66,10,67,24,48,21,63,34,45
2025-04-28,67,13,18,30,44,51,81,38,52
2025-04-29,68,60,31,20,39,59,82,57,10
2025-05-02,69,54,55,76,80,85,67,82,52
2025-05-03,70,1,44,22,72,4,70,18,53
2025-05-05,71,6,18,37,63,72,73,36,28
2025-05-06,72,88,58,63,51,2,35,8,51
2025-05-08,73,27,1,54,67,83,23,65,30
2025-05-09,74,3,47,51,77,85,88,52,39
2025-05-10,75,14,39,55,17,8,49,2,80
2025-05-13,76,15,2,62,81,25,76,89,5
2025-05-15,77,10,73,35,37,28,75,42,27
2025-05-16,78,15,21,30,31,42,80,69,42
2025-05-17,79,22,88,10,19,39,11,29,73
2025-05-20,80,21,48,30,33,5,19,74,39
2025-05-22,81,2,49,72,19,23,46,71,88
2025-05-23,82,2,8,10,18,20,79,13,10
2025-05-24,83,71,53,1,62,5,3,32,53
2025-05-27,84,40,75,53,35,10,7,60,33
2025-05-29,85,32,51,67,81,71,27,35,90
2025-05-30,86,31,34,62,63,82,87,81,77
2025-05-31,87,63,8,47,48,4,90,77,12
2025-06-03,88,37,47,71,1,6,31,26,72
2025-06-05,89,10,19,17,21,74,63,4,60
2025-06-06,90,2,10,33,55,73,74,80,49
2025-06-07,91,5,52,49,46,28,76,83,21
2025-06-10,92,62,76,55,45,14,80,51,17
2025-06-12,93,61,21,81,76,69,79,77,76
2025-06-13,94,8,23,25,48,78,83,80,39
2025-06-14,95,10,56,73,86,18,44,48,55
2025-06-17,96,48,17,58,86,87,52,74,49
2025-06-19,97,4,6,73,11,31,69,9,26
2025-06-20,98,34,67,76,77,86,90,40,43
2025-06-21,99,28,36,42,50,17,4,5,71
2025-06-24,100,63,36,23,64,2,32,37,76
2025-06-26,101,79,69,56,81,70,10,53,45
2025-06-27,102,25,49,54,55,62,73,4,86
2025-06-28,103,41,51,35,38,10,56,3,51
2025-07-01,104,75,28,79,9,25,6,83,20
2025-07-03,105,53,42,37,57,65,49,62,8
2025-07-04,106,26,45,58,65,70,82,27,73
2025-07-05,107,46,16,71,85,61,75,64,12
2025-07-08,108,61,1,73,40,33,64,15,48
2025-07-10,109,75,32,15,5,20,65,12,24
2025-07-11,110,1,31,40,62,64,74,81,11
2025-07-12,111,78,64,16,43,25,24,54,12
2025-07-15,112,10,48,83,4,58,14,47,63
2025-07-17,113,68,35,16,37,42,43,58,8
2025-07-18,114,20,37,50,70,75,88,46,16
2025-07-19,115,5,43,46,56,90,58,23,54
2025-07-22,116,8,85,69,44,52,3,11,67
2025-07-24,117,37,14,66,88,10,89,34,88
2025-07-25,118,15,16,17,36,62,83,7,31
2025-07-26,119,1,88,19,53,9,49,77,44
2025-07-29,120,60,31,13,65,27,75,39,69
2025-07-31,121,57,14,56,66,55,58,46,65
2025-08-01,122,9,25,27,36,54,86,45,31
2025-08-02,123,66,80,54,78,42,88,60,14
2025-08-05,124,65,31,60,6,80,57,12,71
2025-08-07,125,79,70,43,83,85,55,24,4
2025-08-08,126,8,34,38,53,78,79,58,37
2025-08-09,127,6,45,88,18,41,40,37,12
2025-08-12,128,59,11,82,7,83,26,24,54
2025-08-14,129,3,47,30,49,75,19,35,14
2025-08-16,130,31,25,15,6,72,79,54,31
2025-08-18,131,5,19,58,59,83,87,10,32
2025-08-19,132,62,81,10,51,77,5,74,58
2025-08-21,133,57,61,49,62,56,86,16,53
2025-08-22,134,7,25,38,39,66,69,17,24
2025-08-23,135,80,5,47,29,40,52,4,61
2025-08-26,136,23,34,63,25,12,41,21,20
2025-08-28,137,67,64,56,59,72,78,51,86
2025-08-29,138,18,22,32,34,52,56,62,45
2025-08-30,139,46,43,62,90,30,73,35,73
2025-09-02,140,60,28,19,16,78,44,9,73
2025-09-04,141,5,45,16,38,83,63,46,83
2025-09-05,142,9,39,47,52,71,82,83,52
2025-09-06,143,75,73,88,76,78,59,57,5
2025-09-09,144,47,71,82,34,90,73,49,52
2025-09-11,145,9,35,74,65,3,11,26,29
2025-09-12,146,29,33,44,52,63,65,19,84
2025-09-13,147,37,31,28,26,35,65,30,5
2025-09-16,148,1,26,12,51,44,90,72,45
2025-09-18,149,46,60,49,65,38,12,2,46
2025-09-19,150,11,16,23,31,49,78,63,13
2025-09-20,151,2,31,15,12,63,71,50,57
2025-09-23,152,1,6,43,59,73,20,58,89
2025-09-25,153,19,36,11,41,65,82,17,15
2025-09-26,154,2,17,23,39,58,82,75,6
2025-09-27,155,25,68,21,27,10,9,54,6
2025-09-30,156,5,74,77,81,8,71,34,70
2025-10-02,157,52,1,42,89,21,39,6,17
2025-10-03,158,2,4,69,75,79,88,12,7
2025-10-04,159,68,54,48,61,87,79,80,45
2025-10-07,160,56,61,40,21,17,79,87,85
2025-10-09,161,54,78,50,38,49,82,90,43
2025-10-10,162,20,38,42,61,81,82,16,80
2025-10-11,163,62,90,28,80,51,55,68,90
2025-10-14,164,86,31,44,9,59,70,37,81
2025-10-16,165,80,44,7,45,58,76,77,13
2025-10-17,166,2,9,10,32,66,77,72,44
2025-10-18,167,82,75,12,13,19,26,50,54
2025-10-21,168,9,14,36,77,4,33,66,15
2025-10-23,169,29,42,7,68,62,73,26,21
2025-10-24,170,5,12,23,31,84,90,68,77
2025-10-25,171,53,58,16,33,89,18,81,59
2025-10-28,172,63,8,25,58,40,54,50,63
2025-10-30,173,39,37,15,56,30,74,43,47
2025-10-31,174,8,30,32,61,67,85,22,9
2025-11-03,175,80,87,85,30,81,56,67,2
2025-11-04,176,5,76,18,44,28,38,23,89
2025-11-06,177,53,51,88,73,9,48,19,43
2025-11-07,178,5,24,32,67,82,88,43,89
2025-11-08,179,33,19,17,35,62,18,80,58
2025-11-11,180,59,37,3,63,84,42,49,64
2025-11-13,181,7,73,90,54,9,17,89,3
2025-11-14,182,26,38,43,46,72,73,45,45
2025-11-15,183,20,23,40,51,55,85,5,80
2025-11-18,184,89,83,85,40,18,54,4,57
2025-11-20,185,5,74,17,15,48,9,65,75
2025-11-21,186,12,14,18,53,84,86,72,35
2025-11-22,187,29,47,2,8,59,65,86,26
2025-11-25,188,43,18,21,20,40,23,52,10
2025-11-27,189,9,28,50,43,88,61,83,62
2025-11-28,190,1,12,20,21,42,58,84,34
2025-11-29,191,29,69,16,8,61,65,17,85
2025-12-02,192,5,28,90,17,70,59,27,66
2025-12-04,193,48,30,60,45,59,12,40,90
2025-12-05,194,10,19,29,30,56,71,76,13
2025-12-06,195,78,82,84,42,38,1,24,71
2025-12-09,196,78,79,65,51,31,8,26,77
2025-12-11,197,14,86,72,81,85,44,80,47
2025-12-12,198,7,21,35,38,64,80,29,87
2025-12-13,199,36,64,2,7,58,5,14,62
2025-12-16,200,24,2,41,35,84,18,44,20
2025-12-18,201,28,63,73,77,7,69,64,14
2025-12-19,202,16,52,60,75,81,88,40,49
2025-12-20,203,50,24,90,89,11,42,36,44
2025-12-22,204,2,14,28,36,78,85,17,11
2025-12-23,205,80,34,16,24,22,18,62,53
2025-12-27,206,74,84,20,41,8,19,45,74
2025-12-29,207,36,38,45,61,79,83,12,52
