date,contest_number,n1,n2,n3,n4,n5,n6,jolly,superstar,winners_6,prize_6,source_url
2009-05-23,62,9,25,29,43,48,54,65,12,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-05-26,63,6,33,35,64,66,77,85,50,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-05-28,64,5,27,37,63,67,77,75,49,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-05-30,65,1,13,17,31,58,62,74,2,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-06-03,66,32,33,37,43,44,79,74,71,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-06-04,67,7,57,60,67,69,90,14,22,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-06-06,68,8,14,16,18,56,60,69,20,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-06-09,69,14,17,39,47,58,85,61,45,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-06-11,70,4,10,24,59,72,83,47,15,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-06-13,71,8,19,25,73,76,84,33,78,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-06-16,72,6,14,39,47,63,82,74,61,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-06-18,73,15,27,31,52,74,77,54,46,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-06-20,74,1,7,38,58,62,78,79,74,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-06-23,75,2,3,37,38,58,59,24,53,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-06-25,76,23,36,38,52,62,63,43,81,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-06-27,77,29,56,66,77,88,89,45,39,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-06-30,78,12,19,24,51,56,78,3,87,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-07-02,79,12,13,38,46,47,72,5,17,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-07-04,80,6,35,53,67,75,89,2,66,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-07-07,81,41,44,55,56,68,79,40,17,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-07-09,82,7,29,57,60,79,87,84,11,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-07-11,83,8,21,32,33,60,69,48,64,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-07-14,84,33,35,47,51,62,89,5,74,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-07-16,85,6,35,38,48,58,76,26,79,,,https://lottologia.com/superenalotto/estrazioni/2009
